,sentiment,content
128,neutral,@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks.
130,neutral,"claire @breakfastnt love the show, got into the office @ 5am and no radio"
133,neutral,What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes.
134,neutral,@jwillock EpiCentre Wheelock Place - tourists only..
137,neutral,miss 16'th
138,neutral,"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff."
140,neutral,@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby
142,neutral,what is it with chocolates? i just can never say no
144,neutral,@ether_radio i'm too awake now  ill have a nap this afternoon
146,neutral,still needs another 6 hours of sleep
149,neutral,"Morning tweeple,way to early again"
156,neutral,"where are all ma bestfriends at ? , MIA or wat ?"
169,neutral,fun in the sun hmmm hell no it's cold
175,neutral,@juneyee i don't think so.  I WANT DETAILS.
176,neutral,@jackgraycnn Hi...!!! Who is Mary Poppins???
178,neutral,my last tweet didn't send  bad phone
181,neutral,@taxidermi  I was watching Parental Control
205,neutral,@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!
207,neutral,@aiderushton ill be over in an oir
208,neutral,@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am
217,neutral,@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down
218,neutral,@yelgiuQnayR airport? and you didnt show up tonight homo!
220,neutral,@MrRathbone what about me
221,neutral,"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"
224,neutral,out with @lizzziemonster &amp; @jamiejamess i am soooo hungry
231,neutral,back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again.
232,neutral,@ poll : was trying to get it to work in a powerpoint to no avail.
235,neutral,"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"
240,neutral,"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."
241,neutral,#3wordsaftersex it never started...
248,neutral,"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"
251,neutral,"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"
253,neutral,@mysticnz no im not  cries LOL
257,neutral,Come on Knight... It's been well over 4 hours
264,neutral,twittascope is NOT rocking my socks - go away already!!
265,neutral,Driving Back home because I forgot the piece of cake for @v_era
271,neutral,@koifusionpdx i was so close to the tacos...one spot too late
279,neutral,@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home
282,neutral,@passingcarss i wont have time to buy  and i need a new binder pa
284,neutral,25-man Ulduar is hard...
287,neutral,night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]
288,neutral,@princess_oats this is happening to me too
290,neutral,"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk"
295,neutral,ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her.
298,neutral,@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30
303,neutral,"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"
305,neutral,@sillybabyjulie me too
306,neutral,@digenis that story reminds of living in Portugal
307,neutral,"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"
310,neutral,@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself.
311,neutral,@MyDailyRoutine yeahhh. &amp;dont judge my pillow
322,neutral,"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night"
330,neutral,@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product
341,neutral,OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE
342,neutral,"lyin in bed, up faaaaar too early"
348,neutral,When will Medhurst play again?
352,neutral,@duncm I'm a bit Ben's Thai-ed out
355,neutral,@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?
358,neutral,in 7-11  w/o you
359,neutral,"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi"
373,neutral,@brettyrocks thats what i was thinking but the only time it's gonna be on is 1 am!
374,neutral,"Peeps still here. Fun times. Gotta sleep tho. Work in the A.M. Some cool, hot chicks here. But none as cool as ____________. Missing her"
378,neutral,Counting the hours of lost sunshine until the Weekend
383,neutral,good morning work this morning gutted lol nevermind
387,neutral,@Deedubau hahaha I don't know anyone or anything about it except they have powers lol... I live in my own bubble
391,neutral,"love is like a war,,easy to begin, hard to end..fiuuhh..."
398,neutral,Ready To Go @ School
400,neutral,@Richard_Gable It's good isn't it! Our holiday chalet is out of sight but look v similar to those ones. Going home again today
420,neutral,@nayRyelgiuQ airport? and you didnt show up tonight homo!
423,neutral,@avalonabsinthe what?! Come as you are!!! But erock just left  bah D:
427,neutral,for the gays i only made 200 tonight
431,neutral,"@dravenreborn I bet its cool down in SR, huh? It's not here. I haven't stopped sweating since noon when dad and I were packing"
434,neutral,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  Age of the instant gratification....
436,neutral,needs to have an increase on her salary  http://plurk.com/p/wxluu
449,neutral,the week just wasnt the same without an adam lambert performance!!!
450,neutral,@rockingjude The link doesn't work
452,neutral,"GOSSIP GIRL, WHEN ARE YOU COMING BACK  ! chaceeeeeee.."
453,neutral,Smh @ hiphop nursery rhymes
464,neutral,"@taylor_d No, it's not..."
467,neutral,@crunchmonkey78 well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it
479,neutral,@mousebudden I'ma need you to follow me real quick cause I can't DM you
489,neutral,In the Hongkong International Airport. Has to wait for 3-4 hours for our next flight to Cebu.
490,neutral,Can't sleep and nothings on tv!!
492,neutral,@KallieT oh ... you've been superseeded?  not good enough
500,neutral,@dorkydeanna IIII know!!! and mean
503,neutral,@BusyGod PGPM student from where? I myself was a PGPM student about 4 years back. I wish I could stay one
507,neutral,back to work.. with no distractions..
509,neutral,awwww  i never noticed this http://bit.ly/RConp
510,neutral,"@heavyharts that sucks  well state starts tomorrow so im headin 2 bed, nitey nite"
512,neutral,@mygoldmask did you guys keep a set list? I forgot to ask for one  xx
513,neutral,"First impression of Silverlight: sadly, based on what I saw today, it's quite problematic"
517,neutral,"the time you go to bed,  i have to get up to go to work"
520,neutral,"@miss_cheryl Lucky, now I want to teleport"
534,neutral,FC is finally up again. it's about time. i hate that this keeps happening
535,neutral,seriously bored without anyone to talk to... but not tired enough for sleep
537,neutral,@keytar still!! give your computer a break omg
539,neutral,where u at?
545,neutral,@Forever_Yours13 I'm not at home with my cats right now!
548,neutral,Leno's last show was tonight.  I like him better than Conan.
550,neutral,@monpio i don't have any of that
555,neutral,@eCheers Random has an a
558,neutral,@ddlovato july... too long
561,neutral,Wearing glasses gives me a headache.
570,neutral,"@shanajaca But @feltbeats is on page 6 at Ms Twitterworld, only 26 votes"
573,neutral,sleep....good night tweeties!!! down to OC tomorrow. I hope and pray that Rachyl gets better SOON!!!
577,neutral,@iceweasel im eating sliders at barjohnnys! (theyre pork tho not beef  still on the search...)
585,neutral,"friday here at last, not much fun when your skint though"
591,neutral,I don't think I will be able to get out of bed tomorrow morning  we will seeeee!
594,neutral,the times they are a changing
597,neutral,@slickiris video is not available to us foreigners
602,neutral,waiting to get picked up!
613,neutral,"@Giggles_xo   dang it, so its not certain ? ? ? are you okay?"
614,neutral,wishes Dave Gilmour and Roger Waters would re-unite for a Pink Floyd concert
616,neutral,In 1 horse town + 2 blown out car speakers =
617,neutral,Someone make me a cofffeeeeeee......
621,neutral,My nose is stuffy
622,neutral,last night in newport
626,neutral,Aright Twitter Fam... guess ima be outties.. gonna try n sleep off some of this horrible pain
627,neutral,Baby was not herself after recieving vaccines
639,neutral,watching The Biggest Loser on Hallmark. Never fails to make me cry  nyeh.
640,neutral,@zaharh that sucks!  how old are you actually?
642,neutral,Still confuse...
648,neutral,scratch that; sleep on a stage bound.
650,neutral,@officialTila I cnt get it!! its goin to ur old messages?!?  &gt;&gt;&gt;&gt; HELP?&lt;&lt;&lt;&lt;
652,neutral,@laurelexmachina Swimming is a no go for me
655,neutral,"@duciaestherine ohh ic ic haha, iyaa my summer is filled with ONE Course that lasts for the whole summer"
659,neutral,@Joshuah_Pearson
661,neutral,@ccburns Unfortunately not
664,neutral,@emlevins
674,neutral,ups ketauan cabut nih gimana dong
681,neutral,Off to bed!! Still exhausted from Vegas
685,neutral,Took a 4 hour nap after work today and won't be able to sleep all night    This is a bummer
687,neutral,Loving lil ken and absolutely dreading saying goodbye in less than a week
691,neutral,HII!! Thatsï¿½meE!! I woke up and I am goinG to SchooL... Why me??
695,neutral,asks for karma points please.  http://plurk.com/p/wxnt9
704,neutral,L.A. said &quot;wipe the slate clean&quot; before the jelly!
706,neutral,@seanpercival Unless that invite comes with a beta key I'm not going to be much help...
707,neutral,@Johnny_Exp not where i live.
719,neutral,@sha_da_asshole ï¿½ cant im not @ my sister house no ï¿½-net tonite
720,neutral,"Damn, hi Facebook ? what's wrong with you ? can't add photos"
722,neutral,4 more followers.. follow me and I'll love you!! *pouts* Please?
724,neutral,"@textdrivebys i dont even have a WII! b likes xbox, so that's what we have  do you use it?"
726,neutral,@thunder_express i didnt get to see it tonight
733,neutral,2nd to last episode of jay leno  itll never be the same!  nite twitter
736,neutral,Fakin' kisha...just my luck!
741,neutral,so tense..so emotional...so not me..
744,neutral,playing the game of watching straight people hook up but can't leave because of another reason
745,neutral,@daveg38 yeah work today  never mind only one day then sun sun sun....
748,neutral,@heresmyhello92 I don't think it was either. But I can't remember it.
749,neutral,anyone got JBs live chat vid? i was @ school  I saw joe hug and tackle nick lol
759,neutral,@soonseeofpred becuz you braggin
762,neutral,@lawikyn ze Franz has not friended me  i think they think i'm a creepy stalker or sommat. Hmph.
765,neutral,And then you find out today they had there first kiss! }
771,neutral,"dont know why so tired today  bye, time for beddy"
778,neutral,"@syafique ooh maggi goreng. yums. i cant eat, sore throat cmin"
780,neutral,@curligirl morning hon. what you having for breakfast? I cant decide
782,neutral,did I mention my BF bubbled the WSOP employees event after 12 hrs with AA  Working doubles  now for the next 6 weeks
787,neutral,@DellOutletUK But now it's gone
798,neutral,ups ketauan cabut sama @gemamalove @chikachilo nih
801,neutral,"It's 4pm Friday, he left at 6am Thursday.... surely he should be there now"
805,neutral,@talentdmrripley  maybe a good night's sleep for everyone?
808,neutral,"@_erica Yea, its tough to keep it going. Sometimes I'm not sure its worth it."
815,neutral,Work at 5:45am =
816,neutral,@anthothemantho Hell yes. I'm too late.
834,neutral,"@ddlovato Since obviously living in Alaska, only a few radio stations we get here."
836,neutral,"Oh noes.  hey, what's my tatoo say?"
837,neutral,@astynes I don't have a VCR...
845,neutral,@MsAKAtainment I know right  but hopefully something comes up though
848,neutral,@claudiuvoicu supposed to be back Sun (via private jet btw#!:o) but mite hav to stay bymyself (thnk god) for another week  &amp; want Bruno!
852,neutral,Huge headache...goodnight!!
856,neutral,"I justwatched like, 5 straight episodes of escaped on ID Discovery channel. A guy imprisoned 6 women, killed 2 and cooked them"
859,neutral,its only 0.2! Just give me my 3 points!
866,neutral,@ryanhalloran why not?
869,neutral,to Chicago... but why isn't my ride calling me back?
870,neutral,"K, goodnight! Gotta do Chuck E Cheese tomorrow following kindergarten shots and physical... Bla"
873,neutral,I've got to catch the bus to work
878,neutral,@pegbanditkitty absolutely nothin
880,neutral,@ecctv If it makes you feel better I lost 10 overnight cause I posted a picture of a baby
887,neutral,@scumm_boy I'm sorry  I'm thinking about you and hope the week gets better!
892,neutral,mannnn..... @alllyy_ got an iphone!!! im jealous....  http://bit.ly/NgnaR
894,neutral,"@regent_lord Aww, you should've YouTubed it."
898,neutral,Will miss nostalgia ... everyone please kick tushar
904,neutral,says good (or should i say bad?) afternoon!  http://plurk.com/p/wxpdj
905,neutral,says I've got number 10~  getting low~~ http://plurk.com/p/wxpdr
911,neutral,@summer_eyes I wish I knew!  The curse of Tumblr.
914,neutral,Business exam tomorrow
922,neutral,back from grimsby  it sucks bein back but was amazin wknd anyway!!
924,neutral,"@allysonalfonso haha, its under 18 :@ so ive got no one to go with  curse none of my friends liking TAI lol"
931,neutral,@angelazodiak Aww maybe i traumatized her.
936,neutral,Ugh. Too much happened today. I really need a hug
939,neutral,@n3rin3 Ur pic is gone
941,neutral,how do you twitter?
944,neutral,@JWess awww  ok lol hopefully by than im still here and not back over in the states
947,neutral,@djcoombs not at my workplace.   but a short-sleeved shirt is absolutely necessary today!
958,neutral,does anyone know how to convert 6 est to Aus time? ROFL xD fucking radio disney
960,neutral,@sakshijuneja ok that's subtly saying i'm no longer a fave  temme 1 thing - did the firangs steal your vocab? ur eating words and how!
977,neutral,FYI no internets until THURSTAG!!!! after saturday  i have a feeling i will become 800x more productive during those days.
998,neutral,I signed up for an account on a political website so I could post a comment but it isn't working.
999,neutral,How Come I Can Never Sleep Past?? Not Good
1001,neutral,@typicalrouse I would but its like 1800 or 1000+ miles  gas prices are crazy im doing alpine next summer most def
1006,neutral,has an exam at 10am - I slept about 3 hours last night
1009,neutral,Wish I lived in or atleast relatively close to Ohio!   Haven't seen @SmallTown_Troy or @Derk_McLoven in almost a year.
1012,neutral,@3Gguy and within a short time of the last clue all of them
1013,neutral,my phone still doesnt tweet
1014,neutral,"@blindcripple Good idea Brain, you can't not be on Twitter..."
1017,neutral,@mrskutcher just checked library website and girl with dragon tattoo is checked out
1026,neutral,I'm at work
1028,neutral,"@portugaltheman @liftingfaces Where'd the songs go on the site, I want &quot;Do You&quot; on this computer too"
1035,neutral,@CheetahmamiBia oooo ok   why  havent you accepted my friends request
1037,neutral,just got home after killing a possum
1042,neutral,... that's all
1045,neutral,@anshprat yahoo maps! lots more to desire #yahoo
1056,neutral,"facebook quizzes are one cure of boredom haha, my teeth/mouth hurts"
1061,neutral,@debbylovespr I've got one too  though i think mine was attributed to the seizure inducing color/light show in the movie The Soloist.
1065,neutral,goodnight everyone.
1068,neutral,@IsaGoksu  http://yfrog.com/11z2ip  nothing there
1086,neutral,"really, realy want a netbook. mrr. Techno-lust sucks"
1090,neutral,@RichardGiles mine pools... just in someone elses pocket
1095,neutral,@ndrew10 I know!!!! He didn't ask me
1097,neutral,@MrsSOsbourne Ozzy isn't following you yet
1105,neutral,I hate TweetDeck when it reaches access limits
1108,neutral,@ANAIZZ you might want to get some rest...i promise you wont retain the knowledge sleepy
1137,neutral,"@Wolfie85 @christelmcr Ah  sameway Yet,@mikeyway has 2006 votes ((.We need more vote :'D"
1138,neutral,I want a Monte Cristo sandwich sooo... BAd!!!
1140,neutral,Just finished watching &quot;Marley and Me&quot;
1144,neutral,@GeoffComma no fair
1148,neutral,"Nina was on my lap, but just decided to jump off"
1149,neutral,"the swine flu is in robina, gold coast"
1157,neutral,Def wants to cuddle it out maybe play but has no one to do it with the bc is far away
1165,neutral,Gotta go back out there.
1166,neutral,I don't remember what i text to twitter to get a list of commands  halp
1170,neutral,@gettothefalcon i miss that too
1174,neutral,I cant watch anythgin till tonight
1177,neutral,"@workhomexpert Nope, re-reading it all over again.     No offense meant"
1180,neutral,Jay Leno has one more show left as the host of The Tonight Show
1184,neutral,@TLuke08  sometimes going and doing other stuff cures that
1188,neutral,..i graduate today
1191,neutral,@504chucky whats with u hating on becky soo much? ur bio says ur nice....guess not
1202,neutral,@Salamandroid its not just you - its properly dragged this week
1204,neutral,looks can be deceiving
1211,neutral,Week-end is over and now it's time to get back to work
1214,neutral,"Summer is about to end.  For some, it's just about to start. Hahah."
1218,neutral,"@toddh3284 T, im sooooo bored right now"
1220,neutral,@CHARITY_GANT popularity contest and they think twitter will help.... and it's become trendy
1221,neutral,madd bored
1223,neutral,My wife can't get on the guest list for tomorrows show because it doesn't exist. LAME. I guess no wife at the show.
1231,neutral,@jesssicababesss @IvanaE @RachelLock22 DECEMBER... thats like a year away...
1238,neutral,Ugh cant sleep on  this bus.  still have like 5 hours
1241,neutral,Alcohol does not promote weight loss.
1246,neutral,is up too early
1248,neutral,3am i still cant sleep
1258,neutral,Going to a wake of a dear friend Marlito Sy tonight in Novaliches
1280,neutral,i sooooooooo dont want to go to work today to nice outside.
1292,neutral,need a camera blower.. my camera censor is dirteeh..
1304,neutral,S'acaba la setmana del rap vintage  amb la millor: MC Hammer - U can't touch this http://open.spotify.com/track/1B75hgRqe7A4fwee3g3Wmu
1307,neutral,... Money money money...      http://twitpic.com/664uz
1317,neutral,walked home in the rain.
1318,neutral,@mvermut translation = complicated sh-t that someone is going to have to teach me
1323,neutral,"bored, nothing to do"
1337,neutral,@PorkChopJones Sorry   move back?
1350,neutral,@_anniemay OMG No fair
1353,neutral,"@RockedByPickler no I won't honey I got mad yrs to go , why am I crazy?"
1363,neutral,Got back and putting in the laundry. We got in there last  o well as long as its clean. #DSAA09
1365,neutral,Brake time!! Nothing for lunch. Tonite.
1370,neutral,rented bikes + unknown trail with random bumps + big hills + kids = one beat up little girl. Not a good day on the B family vacation.
1371,neutral,"I feel like ive done the London marathon, I ach all over"
1383,neutral,@DantiChos baby help me with math
1401,neutral,Epicfail and Joseph in class... Very long liao
1407,neutral,the physical. It's coo now i know. Just lettin off some steam.
1410,neutral,"@vivzy wanted to change my handset covers, pen drives and a headphone in some place..guess its not happening..."
1417,neutral,@HomeSwapperteam what is the point of your twit on bgt i must be one of the only people you havent found a swap for depite the promises
1419,neutral,hampa hatiku
1421,neutral,I don't ship out until October
1422,neutral,I would of won that contest if I weren't to have chickened out
1428,neutral,Poltergeist! In my house
1434,neutral,@Joseph_KHC wooow. lucky XD my break is gonna end. my classes starts @ june 4
1445,neutral,FML still awake  melatonin not working!
1448,neutral,"Augh, fever's gone up again. If I end up missing the WeHo clubbing tomorrow night, I am going to be pissed. Stupid boytoy gave me plague."
1459,neutral,@BrentLauren that doesn't sound like fun
1464,neutral,Come to bed
1472,neutral,lonely ..
1473,neutral,I was rooting for Betty.
1476,neutral,crash in Qmbol
1477,neutral,I'm such a chicken
1480,neutral,@Burgandy1 Girl I know!
1485,neutral,@metafisix i thought you were gonna be at the show
1489,neutral,"Bucky, my ferret officially has insulinoma  Now on daily prednisone. Had interview with p-doc today, have to go back monday for testing."
1496,neutral,Goodnight world! I have t o be up at 5am
1497,neutral,@Fasn8nUrMind ima goodgirl I'm not down with takin advantage
1500,neutral,gahh!! i'm so tired right now.
1503,neutral,@whitespider1066 &quot;toys&quot;??? Advanced load carrying system. Low-cost 1-man outdoor shelter. I didn't get the Wolverine glove
1506,neutral,"???ï¿½ï¿½  ???CE d grade?mock?????, ???????"
1507,neutral,need a lots of moneeeeeeeeeeeeeeeey
1510,neutral,i have nothing to do
1514,neutral,@AdamKruth serious! Perhaps Sat will work out better
1516,neutral,i got no followers i only have like 2  someone follow Me please?
1525,neutral,Dude. everyone could. it wasn't ment to be bad..
1527,neutral,@TerrenceJ106 I'm with you...been up till 5-6 for the last few nights...
1532,neutral,im saaaaaaaaaaaaaad  i need someone to talk to.
1538,neutral,Hangover
1546,neutral,Hi anyone there?!!!!!!!!!!!!!!
1548,neutral,Last night in Australia
1553,neutral,"The time in Germany went by too fast, only 2 days left   Hopefully I will move here soon."
1554,neutral,@Cause4Conceit  wish u could rub my head too
1555,neutral,"@philcampbell blue skies? where, it's still grey and hazy out of my window"
1561,neutral,@risamarie: no i'm not going.
1563,neutral,Varsity Fanclub will never be the same!!
1570,neutral,@arania nope i cant figure out how to get the updates on my blackberry. . . i need to go running too
1573,neutral,Is up so early and proppa shattered and knackered
1575,neutral,Shame I've gotto go to work
1582,neutral,@ayawan I actually meant to type &quot;end of September&quot; but I was in the middle of a conversation with someone and I cant multitask
1590,neutral,iï¿½m ill.. bueeee..
1593,neutral,@BARACKOKITTY ur right! i dont have a reason to be up early but im sure my niece will be in my room in a few hrs botherin me
1596,neutral,to spend the weekend...to not spend the weekend.....that is hte question that is on my mind...
1605,neutral,My door looks naked   It makes my room feel bigger though.
1613,neutral,@lumivalkoinen nice you look awesome in photos .. whereas I look like a drunken soccer fan in all of mine
1641,neutral,almost 100 cases of swine in australia. hope may still decides to come visits me
1652,neutral,@EnglishRoses Equations and graphs
1657,neutral,Addicted to Glee... watching the video over and over again....I should be out
1659,neutral,"I had a horrible dream  it had to do with a scary face, now im awake for the rest of the night. God dammit :\"
1668,neutral,@brandillio that would be most ideal. However...now I dont see myself leaving before 3  Gonna have to take a rain check
1679,neutral,"??????? ????????? ?? Google Chrome - ?? ???????, ?? ??? ???????? ??? ?? Firefox"
1680,neutral,"@yarivs Storysize is 2 (and it's posted as a short story, not one liner), but doesn't show up in any news friends can see. Only in wall"
1683,neutral,@bannersrus hemp cloth is marvelous but unfortunately no
1688,neutral,@bronwen @jjprojects you might have missed my latest experiment - I know blogs have too many words these days  http://tinyurl.com/ne6twc
1701,neutral,"You need to remember the data the customer has entered on previous pages when they use the back button. So, so many don't do this"
1705,neutral,NOT excited for 32 people reservation in the morning  damn LOVIN halo3 right now for sure too
1708,neutral,Is there a way to block followers?  I have no idea who you are. .  Sorry..
1715,neutral,"i really don't want to go to the eisteddfod concert tonight, it would be ok if i didnt have to wear the dumb band uniform"
1721,neutral,"i now have 3 new videos on my ipod, i delted a few so i could replace them"
1728,neutral,trying to finish moving stuff for tonight don't feel good!!!!!
1730,neutral,Mudweight hauled in for last time by @dandypig  http://yfrog.com/0zr2jqj
1738,neutral,1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today   Freakin filipino parents AHA
1752,neutral,"forecast in sf for friday, may 29: 66 degrees."
1757,neutral,@emcrxtna 1 month ahaha. AND i dunno if I can go tomorrow LMAO cause i went today  Freakin filipino parents AHA
1759,neutral,excited for YSJ Summer Ball - I wish we had one too
1761,neutral,"@melkoo Hi Mel, if you feel unhappy just take a bit of fries but don't overdo.  If can help it don't"
1764,neutral,@Bkk_Saluja but i think the choco diet is worse  cuz every time ur hungry ur only allowed to eat a tiiiny piece of chocolate D:
1765,neutral,"it's about rain here, or it's just plain cloudy. i don't know which..."
1766,neutral,@keytar make up your mind
1783,neutral,@Maxsterism naisee. is it bad that i can see lens flares all arond me while listening to it? XD cant really catch what they're saying tho
1784,neutral,@Cookie_Monstr  u may try Prism http://prism.mozilla.com/
1786,neutral,http://www.speedtest.net/result/483892161.png i get good download speed only when no one else is using the connection
1789,neutral,food...food...FOOD!
1790,neutral,@laubow_  me too!
1794,neutral,Hitting the docks soon.
1799,neutral,Too much sand in the SD 790 from pismo this weekend. ANOTHER canon powershot broken. 2nd one in a year  What to buy this time...
1811,neutral,@itsJorx what do you mean jorx?
1814,neutral,@madpierrot maybe it'll listen to you  dude it's like three in the morning. what time is it over there?
1818,neutral,I used to have a remote for my tv.
1820,neutral,@leslieyuko mine too
1821,neutral,So tired.
1830,neutral,thinks Coast Capital sent her work number to telemarketers
1833,neutral,@poohbaby91 hey you WHORE!! that's kinda mean dont yu think?!
1836,neutral,http://bit.ly/LaZEL  Wow Christian Lacroix bankrupt.. sad
1837,neutral,Brownie sundaes at Five and Dumpster. Blood Bros on iTunes. Palm Reader was closed  Fun at the 371 anyway.
1840,neutral,i have much to learn
1844,neutral,@taylorswift13 so my friends are coming to see you on NYC...but im on stupid vaca in the stupid cayman islands so i cnt go  iloveyou&lt;3
1845,neutral,@Yaelzraw fell asleep with techno songs on shuffle. Loud.  Its been on for hours. Im too lazy to go turn it off. He has like 800
1849,neutral,@J2thaESSICA also just spoke to my &lt;3...              ï¿½tearï¿½
1860,neutral,Sitting waiting for an exam to start
1861,neutral,am hungry agaaaaaaiiiin maaaam
1872,neutral,"Morning folks! Light tweeting today ('Hurrah!' from the crowd!) 'cos I've a busy Friday. Me inside, sunshine out."
1874,neutral,Oh dear. Travellers moved onto land very near my house. They always leave a bloody mess and council take a year b 4 they clean it up
1875,neutral,"I can't have any pets in the appartment I really want, so no rat yet."
1876,neutral,going to work soon
1879,neutral,So hot today.  Why must it be a weekday
1880,neutral,IT DIDN'T WORK
1881,neutral,"I'm going to see Le Mis tonight. - myonlysanction: ugh, so jealous. aw  im a sucker for musicals, but i... http://tumblr.com/xtl1wb089"
1888,neutral,"Gotta sleep, and then off to work"
1890,neutral,listens to MSI and bakes banana bread. How weird is she? Remarkably not so much anymore.
1906,neutral,@whatthelillyyo we just missd each otha again! I was at disney all day YESTERday!
1907,neutral,i wanna go vivid light walk
1911,neutral,is it weird that i really want a harry potter bed spread and pillows???? i wish i could find one that wasn't gryffindor
1915,neutral,@CHEVerlyHillz im hella pushin for it...how was tha graduation..sorry i couldnt smash thru...
1917,neutral,what am i doing? what can i do?
1918,neutral,wishes that she has a private jet so that she can go see her BFF @ times like this.. ok ok..ot really thinking of carbon footprint here.
1919,neutral,"That seized bolt, ya it's still stuck! The bushing is actually seized to the bolt, very very lame   Perhaps some heat will work?"
1934,neutral,@ammaryasir link  I need go on my laptop then sigh.
1941,neutral,@tsarnick This year
1947,neutral,"You know... time was, you could look at a Web page's source code and figure out how it worked. Now it takes a lot more effort."
1949,neutral,"is laying in bed, wishing i could meet Kellan Lutz.... haha im a nerd...dream on"
1959,neutral,"@mikdev  i leave the 27th, back the 5th or 6th."
1963,neutral,you forgot your fans too!  haha
1976,neutral,O and i have to wear a damn jacket today cos i didnt notice a mark on my shirt...
1979,neutral,@amazondotjon Can you ask Ryan why he stopped following me on Twitter
1982,neutral,should be going to bed but cannot sleep right now.
